日期,收盘,开盘,高,低,交易量,涨跌幅
2010年7月18日,0.1,0,0.1,0.1,6.55K,0.00%
2010年7月25日,0.1,0.1,0.1,0.1,25.29K,0.00%
2010年8月1日,0.1,0.1,0.1,0.1,28.56K,0.00%
2010年8月8日,0.1,0.1,0.1,0.1,41.26K,0.00%
2010年8月15日,0.1,0.1,0.1,0.1,46.72K,0.00%
2010年8月22日,0.1,0.1,0.1,0.1,52.94K,0.00%
2010年8月29日,0.1,0.1,0.1,0,71.76K,0.00%
2010年9月5日,0.1,0.1,0.1,0.1,29.59K,0.00%
2010年9月12日,0.1,0.1,0.2,0.1,43.62K,0.00%
2010年9月19日,0.1,0.1,0.1,0.1,62.80K,0.00%
2010年9月26日,0.1,0.1,0.1,0.1,76.07K,0.00%
2010年10月3日,0.1,0.1,0.1,0,472.96K,0.00%
2010年10月10日,0.1,0.1,0.1,0.1,206.14K,0.00%
2010年10月17日,0.1,0.1,0.1,0.1,165.87K,0.00%
2010年10月24日,0.2,0.1,0.2,0.1,205.85K,88.53%
2010年10月31日,0.4,0.2,0.5,0.1,228.00K,96.08%
2010年11月7日,0.3,0.4,0.5,0.1,341.46K,-29.23%
2010年11月14日,0.3,0.3,0.3,0.2,146.41K,0.00%
2010年11月21日,0.3,0.3,0.3,0.3,73.38K,0.00%
2010年11月28日,0.2,0.3,0.3,0.2,136.93K,-27.56%
2010年12月5日,0.2,0.2,0.2,0.2,66.89K,0.00%
2010年12月12日,0.2,0.2,0.3,0.2,37.50K,0.00%
2010年12月19日,0.2,0.2,0.3,0.2,40.10K,0.00%
2010年12月26日,0.3,0.2,0.3,0.2,62.38K,20.05%
2011年1月2日,0.3,0.3,0.3,0.3,56.70K,0.00%
2011年1月9日,0.4,0.3,0.4,0.3,97.03K,19.54%
2011年1月16日,0.4,0.4,0.4,0.3,82.88K,15.10%
2011年1月23日,0.4,0.4,0.4,0.4,64.42K,0.00%
2011年1月30日,0.9,0.4,0.9,0.4,177.62K,109.57%
2011年2月6日,1.1,0.9,1.1,0.8,111.64K,17.39%
2011年2月13日,0.9,1.1,1.1,0.8,70.90K,-12.13%
2011年2月20日,1,0.9,1,0.8,53.11K,0.00%
2011年2月27日,0.9,1,1,0.8,71.26K,0.00%
2011年3月6日,0.9,0.9,0.9,0.8,54.39K,0.00%
2011年3月13日,0.8,0.9,0.9,0.7,47.85K,-16.67%
2011年3月20日,0.9,0.8,0.9,0.7,65.51K,11.79%
2011年3月27日,0.8,0.9,0.9,0.8,37.89K,-8.56%
2011年4月3日,0.7,0.8,0.8,0.6,94.68K,-6.65%
2011年4月10日,1,0.7,1.1,0.7,222.10K,43.84%
2011年4月17日,1.7,1,2,1,230.94K,61.90%
2011年4月24日,3.5,1.7,4.2,1.5,315.37K,105.88%
2011年5月1日,3.6,3.5,3.9,2.5,154.50K,4.00%
2011年5月8日,7.2,3.6,8.9,3.6,292.56K,97.80%
2011年5月15日,6.1,7.2,8.5,5.6,223.19K,-15.00%
2011年5月22日,8.3,6.1,9.3,6,207.81K,35.62%
2011年5月29日,18.9,8.3,18.9,8.1,272.94K,127.59%
2011年6月5日,14.6,18.9,31.9,13,515.02K,-22.45%
2011年6月12日,16.9,14.6,25,10.3,481.85K,15.29%
2011年6月19日,17.5,16.9,18.9,16.9,30.18K,3.67%
2011年6月26日,15.4,17.5,18,14,179.65K,-12.05%
2011年7月3日,14.4,15.4,16.5,11,366.20K,-6.62%
2011年7月10日,13.7,14.4,15.7,13.5,190.88K,-4.59%
2011年7月17日,13.7,13.7,14.7,12.5,263.67K,0.00%
2011年7月24日,13.5,13.7,14.7,13.3,132.60K,-1.10%
2011年7月31日,6.6,13.5,14.9,5.7,398.27K,-51.59%
2011年8月7日,10.1,6.6,12.1,6,392.07K,54.66%
2011年8月14日,11.4,10.1,11.9,9.6,172.35K,13.03%
2011年8月21日,8.6,11.4,11.5,7.6,226.80K,-24.98%
2011年8月28日,8.5,8.6,9.5,8,112.89K,-1.28%
2011年9月4日,4.8,8.5,8.5,4.2,476.41K,-43.75%
2011年9月11日,4.8,4.8,7.4,4.4,413.36K,0.00%
2011年9月18日,5.5,4.8,6.8,4.7,384.64K,14.68%
2011年9月25日,5,5.5,5.5,4.6,199.84K,-8.04%
2011年10月2日,4,5,5.1,3.8,253.06K,-20.28%
2011年10月9日,3.8,4,4.4,3.7,247.14K,-4.24%
2011年10月16日,3.2,3.8,3.9,2,675.35K,-17.71%
2011年10月23日,3.6,3.2,3.8,2.4,450.69K,13.29%
2011年10月30日,3,3.6,3.7,2.8,268.87K,-17.04%
2011年11月6日,3,3,3.2,2.8,252.92K,2.02%
2011年11月13日,2.2,3,3,2,806.16K,-27.39%
2011年11月20日,2.5,2.2,2.6,2.2,363.45K,12.27%
2011年11月27日,2.8,2.5,3.1,2.4,609.05K,12.96%
2011年12月4日,3,2.8,3.1,2.6,388.45K,9.32%
